Unique ID,User,Tweet,toxic_bert_binary,perspective_binary
1571253211713138688,MacroTactical,@MagnusMacro You get less heat in NYC for Asian hate crime. God forbid you eat foie gras,1,0
1571241914418053120,Bluerue2123,@BeenWne @newitguy2 @MelechThomas 😭 it’ s funny cause how do white people INVENT the asian hate crime then act like it’s some how us who do the majority of the hate ? Black people don’t even have authentic asian stereotypes,1,0
1570603070069035013,kerberospanzer,"@JDCocchiarella Sex offenders, violent street gangs, and perpetuators of Black-on-Asian hate crime will wholeheartedly agree with you.",0,1
1570599088919543808,boypussyrises,Sitting on the porch drinking beers until I get drunk enough to do a hate crime to my asian neighbours,0,1
1570595607257190400,starstruck274,@CeFaanKim @NYPDHateCrimes Nothing new. It’s always black on Asian hate crime,0,1
1570449143889362945,mattmeltowy,@nypost and the victim was either white or asian... another hate crime that this useless administration ignores.,0,1
1570389501155119110,CaptnJabberJaws,"Unprovoked black on white (or Asian, Native, etc) violence is the same disgusting Hate Crime https://t.co/2M991T6gUD",0,1
1570365573090918406,VT73556250,@AbolitionF_ists Bahahahahahaha blk ppl were the leaders of assaults on Asians all over America..despite being only 13% they over represent in anti Asian hate crime....by alot. Soooo yea yourfle wrong,0,1
1570275418158272519,SwingerGarrett,"New FBI crime data for 2020 is out:
-Over half of violent crimes and 60% of homicide committed by 6% of population (black males)
-More anti-White hate crimes than anti-Asian, anti-gay, or anti-jewish
-black Americans committed a hate crime rate 2 times higher than Whites https://t.co/kNa0ywICHy",0,1
1570201921155219456,Elofson,"@realdanlyman And, again, the usual suspect. The hatred and violence of black men directed towards white and East Asian people is what the left call a hate crime.",0,1
1570168976709414912,RennerLynette1,"@ElizabethCano__ @bgmasters @CBS @weijia Trump's criticism of CCP fueled a spate of ""Asian hate crime"" stories.

Eventually even dim, racist #CultOfLeftism members discovered 80+% were black-on-Asian hate crimes.

Suddenly, leftists/media stopped caring about Asians!

Blacks are higher on #CultOfLeftism POC victim scale",1,0
1570055548904640513,Bee_Miami,"@NoVoiceTweets @howardrgold1 @NatasjaYonce @ElizabethCano__ @bgmasters @doj If I, a Latino, walk down the street and punch an Asian man unprovoked - I wont be charged with a hate crime... If I yelled slurs at him or am known to have anti-Asian sentiment which fueled the aggression, I would be.",1,0
1569881820048814081,Malinowski_L,@bgmasters The Victim looks Asian. Hate crime.,1,0
1569818426138570752,sfrcl,@BrookeJenkinsSF @SFDAOffice I hope you charge those kids the assaulted n kicked the asian lady in Chinatown as adult n hate crime charges. They need to be locked away for along time so they can learn a good lesson,1,0
1569817188982464516,ProudPTDeeDee,"On @DrPhil 2nd 22 show he's now showing Asian hate crime.  Typically, the new liberalized Dr Phil, is showing white on Asian incidents HOWEVER the factual statistics reveal 95-% of Asian crime is now committed by black men.  It's so pathetic Dr Phil has gone to this side😵",0,1
1569595591327420418,ShanetteDrayton,"@BidenBurner46 @JoeBiden You need to pay the debt that's owed to ADOS, yes Reparations.  You have know problem giving Asian 50 million dollars and a hate crime bill and borders are open except for Haitians who are getting whip by federal agents. ADOS  build this country with there blood, sweat tears.",1,0
1569579585301356545,JanetScoopRedux,"so yes, they KEPT the joke about the Asian dude disappearing the Black dude not being a hate crime but representation, but removed the one where white guys were referred to as white guys. lol",0,1
1569496433664860163,montegodes,"@TheLaurenChen Hi Lauren 

Thanks for talking about this 

Also please highlight DoJ removed asian from hate crime list in 2020 because majority of perps were black",0,1
1569486688048775168,RobHembree,@RealDante12 Hate crime against this Asian boy.,1,0
1569316415907446785,monsterlonnie,@aditinfinite @tobymorton That would be the hate crime where he beat up Asian dudes.  It was like 30 years ago,1,0
1569235281576103936,lanutayi0991008,@activeasian I don't see any crimes here unless you think asian women marrying men from other races is a hate crime against Asian men cuz asian women are Asian men's property,1,0
1569136651393171456,JelonMusks,"@BxTadow @cjgproduxions @lele_lisa @YourMomsfave77 @RealTimBlack @SonnieJohnson @staceyabrams Ukrainians getting billions of tax payer money…illegals getting sanctuary cities and allowed to drive without a license…if you look at an Asian wrong they can say you committed a hate crime…meanwhile Jackson,MS water looks like oil…",1,0
1569006187567525894,cinwall01,"Joe, I never committed an Asian Hate Crime!! Nor have millions of Americans!! 

Tell the truth and quit effing yelling at me!",1,0
1568976658387943425,Desmond_FBA,"@God_Is_A_BlkMan HEY, thIs iZ a AsIAn haTE CrIMe.",1,0
1568834707424690182,BushDidGitmo,"@MetaDetroid @slayzuha @rad_dude124 @MDirtysoul @Gozutrucker69 You said that Asian women aren’t a minority group, how the hell is it irrelevant to point out that women are? And do I need to link hate crime statistics or Japanese internment camp wikipedia pages or are you smart enough to use Google?",1,0
1568626291233939457,AKnowing,@Lip_McRican @paceplanet @JohnathanPerk You do realize that the fastest growing racial hate crime are black’s on Asian,0,1
1568615169453858816,Thrilla_dondada,They alway reap benefits from us but we can’t from their community it was such a big slap in the face when they actually got the Asian hate crime bill passed but what about them shoot us all the time ??? https://t.co/IFEK055Eqr,1,0
1568439034791460867,Andreforthought,"@bella_tannn The original people of this earth was melanated, if mermaids were real you think they would be pale faced red heads ? 🤣 Stop complaining, you have a whole Asian hate crime bill based off of fake propaganda.",1,0
1568416396815523841,tab092466,Ok perpetrator black; victim Asian. Hate crime 🤷🏾‍♂️? IJS. If the perpetrator was wearing a Trump t-shirt I wonder how that would have been reported?,0,1
1568350457189527552,SuspendedRobot,"@PastaGoblinMob @confucian_the Getting robbed bc you are Asian is a hate crime, but it is not gonna be recorded as such.",1,0
1568333848898936835,_thatweird0,"Listening to these Asian hate crime stories just really … trip me out. Because black people have been treated THE WORSSSSTTTTTT , FOORRRR EVVEEERRR. But we need to move mountains for the Asians? What about equality for all?",0,1
1568115346917277697,kalpeshshahzz,More Asian hate crime https://t.co/gWdMm4Swxh,0,1
1568098408560467969,wisemove,@CommeBraeGarcon hey maybe it's because you not asian 💀 I've experienced hate myself and there def has been a surge in hate crimes. whats just really hard though is just what is a hate crime,1,0
1567975666104279041,astroboytezuka,"@eddiekimx Here in San Francisco, SF police data show a 567% increase in anti Asian hate crime.  The ""dumbest take"" is to put your head in the ground like a human ostrich and pretend it's not happening.  Just saying.

https://t.co/qqBz1g8tWC",1,0
1567584222176579592,seanleethy,"@sonny0331 @KnowBothSides @philipnicho @Joel_P_Atkinson @michaelsobolik @MichaelEOHanlon They call you bat eaters. You will never fit in. LMAO. your own government commits the greatest anti Asian hate crime ever done. You are just naive because you can't hear the conversation deep in DC, because you don't have high enough clearance, which you will never get",1,0
1566401983644418050,savingtides,@yeawelltoldu He haven’t done nun for black people. He passed an Asian hate crime bill but we ain’t get nun! We got inflations and some BS. I can’t take nobody serious right now who still mad about trump. Nawl focus on this president fam,1,0
1566008191842144257,AvengerTaiwan,"@urvipareek @globaltimesnews Believe it or not. But actually our real enemy is white european race. They hate us. They don't like asian peoples in europe &amp; US. White european race did hate crime against indians, chinese, japanese. White european dropped nukes in asia. White european is taking advantege.",0,1
1565261854418534400,pennypentan,"@Glitterbeard_ @shigella_lawson Huh didn’t realise that when my Asian mother in law teaches me a recipe in her kitchen im somehow committing a hate crime 🤪
This gal is so bitter and unhinged honestly 🙄",1,0
1564994658199130112,DanimosM,@POTUS SINCE YOU TOOK OFFICE ASIAN HATE CRIME ON THE RISE - https://t.co/1G4582opAs,0,1
1564963407161307136,mikee918,Another Asian hate crime. https://t.co/Uki3aFYoKt,0,1
1564264398847361030,MadamTorresP,"@Becky30729559 No never seen one..  will be a hate crime!!! But verbal discrimination for blacks, asian and latino is an every day thing..",1,0
1564203302484676609,AndrewP11941403,@POTUS Ok start with the Asian hate crime spike caused by whi....oh wait it's blacks,0,1
1564155330954956800,eugenechung,"Some more US Asian Hate crime! Sigh!
Man, teen accused of Sacramento robberies targeting Asian women face hate crime enhancements https://t.co/DKd3pQGLTY",1,0
1564152377476878336,aureydse,"@montegodes @7GOLDEN7_ @WatsonIsCLE @sydney_sweeney I can acknowledge that during the rise of COVID, Asian hate crime did sky rocket but I don’t think we should pinpoint that solely on black people. I feel that was just people in general being assholes. I really don’t think race played much into that except for..",0,1
1564145193942523905,eugenechung,"More and more Asian Hate Crime in the US!😡
https://t.co/9EqAsUrlJC",0,1
1564143447749136384,senoritajosie,asian gangs are much different than the mob.  when that guy tried he meant the beautiful asian ladies and that's so notorious big rap music.  i mean like a beautiful hate crime.  i hated thai children so bad i killed all his kids with the thing i found from their fertility doctor,0,1
1564070674326441984,GreggMarsh64,@partners_road @RonColeman @NYPDnews @NYPDTips Looks like a hate crime on an Asian man,1,0
1564046068446273537,weRessential,How about the rampant black on Asian hate crime in every major city? https://t.co/W4sP9hZ4zz,0,1
1563949033638531073,JonQuays,"@ChoralsScholar Yep, I've always doubted this. Also ""urban youth"" sucker punches 60 year old Asian woman feels far less like a hate crime than a crime of (easiest) opportunity.",1,0
1563789665722781696,blackGlovesAsmr,@xAlleymanx @bpdisme @Mariners Stop with Your Asian hate crime!!!!,1,0
1563734140259749888,mistercmt,"If a white guy beat a black guy it’s “racist”.

If a black guy beat an asian guy it’s “hate” crime.

What if an asian guy beat a black guy or white guy what will they use as an excuse?

JUST A QUESTION.",0,1
1563629494618955776,bigpict26315486,"@slept_on_cross @FreeSpeechTammy @HPAsianVoices She's talking shyt, &amp; like most WS (&amp; wannabees), hopes you'll just take her at her word in order to denigrate blk ppl. In 2020, 279 incidents of ""hate crime"" had asian (AAPI) victims. Even if *all* were by blk ppl (they weren't), what does it say abt 42 mil blk ppl? Meanwhile...",0,1
1563612954817593349,curbcooler707,"@roleary85 @bobbybongo1 @wender777 @MrAndyNgo @NYPDTips EAST ASIAN man being sought fir hate crime  aftet assaulting eldlery elderly couple,  dousing  them with gasoline and trying to set them on fire after going on random anti black and Mexicans rant! Where’s the outrage?! Why is the biased tv news at?! Is this due to envy  too?! https://t.co/viVLmvKODA",1,0
1563611935375237120,curbcooler707,"@David_Rubio1982 @MrAndyNgo @NYPDTips EAST ASIAN man being sought fir hate crime  aftet assaulting eldlery elderly couple,  dousing  them with gasoline and trying to set them on fire after going on random anti black and Mexicans rant! Where’s the outrage?! Why is the biased tv news at?! Is this due to jealousy too?! https://t.co/Vceqx700CH",1,0
1563611848905469952,curbcooler707,"@Tenzy426 @David_Rubio1982 @MrAndyNgo @NYPDTips EAST ASIAN man being sought fir hate crime  aftet assaulting eldlery elderly couple,  dousing  them with gasoline and trying to set them on fire after going on random anti black and Mexicans rant! Where’s the outrage?! Why is the biased tv news at?! Is this due to jealousy too?! https://t.co/y8FKEOxdk5",1,0
1563518198317985794,TheUnwanted46,"Black on Asian hate crime. AGAIN.
Where is the outcry from the Asian community? https://t.co/mGo3lx4234",0,1
1563508322933698561,DukeofDaytona06,"@alwaysbelunchin @Jennifer514R @CeFaanKim @DanKrauthABC7 @NYPDHateCrimes Lies!

53% of all hate crime OFFENDERS are non-Hispanic WHITES. 

4.4% of all hate VICTIMS are ASIAN.

49% of all hate crime VICTIMS are BLACK. 

The data doesn't support your narrative. https://t.co/1bZ3vkQJpe",1,0
1563332704455708672,checkitout5555,"@IMEmperorTaylor @NoPronoun4u @rguy12 @Masashi_Agaoka But that’s what I asked you. You said black ppl can’t be racist, I asked what about if a black person committed a hate crime against an Asian person, and then you have been not answering and deflecting since then. Were not having the same convo bc what you’re saying is ridiculous",0,1
1563297495576223745,negro_damus19,"I’m all about transparency at every level of govt. 
Biden campaigned on complete student debt forgiveness, then said if you don’t vote him you ain’t Black, then passed an anti Asian hate crime, and then padded law enforcement funds while Black people are still hunted by pigs https://t.co/MWRIMenwtC",0,1
1563280518589779968,Down_W_Tatmadaw,@CeFaanKim @Far_Centrist @DanKrauthABC7 @NYPDHateCrimes Another day another random violent Black on Asian hate crime,1,0
1563255886704885765,tobinprowant1,@CeFaanKim @NYPDHateCrimes It was not random.. When a black guy attacks an Asian woman it's not random it's called a hate crime,0,1
1563254922879340544,tobinprowant1,@Syissle @MoPatriot_Shane It is an obvious hate crime... Certain types of black people have been assaulting and murdering Asian people. As long as the Democrat led criminal Justice system allows it to continue it will continue,0,1
1563193721067573248,mattmeltowy,@nypost was it another black on white hate crime? or black on asian? im sure the city will do a good job hiding it,0,1
1563179349603663873,Down_W_Tatmadaw,@Syissle black on Asian hate crime #FightAsianHate #StopAsianHate #BlackonAsianHateCrime,1,0
1563157022497185795,Mavvy773,The Asian hate crime bill still crazy asl,0,1
1563020295346147328,JkMegenio,@tragicbirdapp To be honest for a past few year.. all asian hate crime is always commited by a black guy i dunno why... im just noticing it on the news.,0,1
1562969818394832896,NatalieDonna,"@RexChapman Update to my first tweet, this woman must be arrested and charged with a hate crime. She physically assaulted and verbally abused the East Asian woman.",1,0
1562839581342732288,GawidFinancial,@activeasian SF Police. Mr Asian Elder you are under arrest for assaulting this fine gentleman's fist with your face and that's a HATE CRIME! NO BAIL!,1,0
1562697239587614721,homer2288,"@MotulX22 Here corrected it for him, ""How can we stop the anti-Asian hate crime in the US? Stop people from targeting Asian female &amp; elderly, such cowardly acts.",1,0
1562594199194988549,_Q_Bert,@JBPritzker What have you done to address hate crime against Asian Americans in your #Hellhole city of #Chicago ?,1,0
1562565166926925829,EdC4225,@henrykleeKTVU @KTVU @oaklandpoliceca Of course it’s a hate crime because she’s Asian and just not a regular victim like everyone else.,1,0
1562513779111260160,DanielDarneille,"@mechredd @Shinwasha @SOLibertarian @ksorbs trump pushed Asian Hate with the virus and in 2020 Asian Hate crime went up! Stop boot licking trump with your lies….. we voted him out for a reason, time for you to move on! They’re just president’s, not your God’s!",1,0
1562446466337370112,kalpeshshahzz,More Asian Hate crime https://t.co/odSrMGqBea,0,1
1562407907509108737,TouquetWes,"@PennyHandful @GKMcCabe @myfabdad @calvinrobinson It wasnt a hate crime was it.

What are your thoughts on the hate crimes aspect of asian pedo hate rape gangs?",0,1
1562405838932811777,TouquetWes,"@PennyHandful @GKMcCabe @myfabdad @calvinrobinson You are right,  he didnt target children because of their ethnicity,  unlike the asian pedo hate rape gangs,  so his crimes were not a hate crime.",0,1
1562405418344882176,TouquetWes,@PennyHandful @GKMcCabe @myfabdad @calvinrobinson What are your thoughts on the hate crime aspect of asian pedo hate rape gangs?,0,1
1562404384994205696,TouquetWes,"@PennyHandful @GKMcCabe @myfabdad @calvinrobinson You seem to want to ignore the hate crime aspect.  Why is that? If a white pedo gang targeted only asian girls would it be called a hate crime?  Of course!!  But lets ignore it when ""asians""  do it!
https://t.co/sIHsc6PU61",0,1
1562260888576372738,GuruTheZeke,"@henrykleeKTVU @oaklandpoliceca @KTVU Getaway car had no fear of bullets being shot in its direction because why would you park directly across from the targeted vehicle?! With bullets flying back in your direction, foul play or an assassination!!! This ain't no hate crime,  they both were Asian why not shoot em both",0,1
1562204941531246598,VHeadz,"@Lkseng3 @DionLimTV @SuspendedRobot how do you know it was a hate crime? what race were the suspects?

so now you asians are gonna pretend yall dont commit crimes?

you realize theres whole asian gangs in cali right?",1,0
1562111755052089344,basedoliva,"@activeasian lol I just want to wake up, log onto my twitter, and not see random black on asian hate crime popping up every single mf day. difficulty: impossible",0,1
1562044996542468097,TouquetWes,"@WILDIRISH_ROVER @peo665 @calvinrobinson I am bothered mostly by the racist hate crime aspect of asian pedo rape gangs.  It is a racist hate crime,  unlike Kincora and most white pedo rape gangs.  People seem to downplay/ignore the hate crime aspect.",0,1
1561954919544139776,1337g34rLV,"@confucian_the Still, the VAST majority of anti-Asian hate crime is committed by w#ites. The fact that Black on Asian crimes get all the air time is just another example of the fact.",0,1
1561935447714136066,dawnmarie070,"@BodyNpc it’s a hate crime, just like they attack asian people for no reason",1,0
1561850007061422084,pavulous,Another Asian hate crime https://t.co/9Vqu7nicn0,0,1
1561824027618017284,DecentAmerican1,"@DionLimTV Nearly every day another hate crime.   George Floyd triggered riots,why aren't Asians rioting in the streets with all these Asian attacks????   You need to stop being the quiet minority.  Bullies on the playground always pick on the kid who doesn't fight back.  

FIGHT!!!!!",1,0
1561823117160222720,irenemcho,@sarah25belle I’m sorry my raw anger is triggering and calloused. I normally don’t tweet like this. But I’m so goddamn angry that yet another shooting happened and nothing is getting done. On top of a diff shooting in Oakland of Asian hate crime. I’m just beyond. No one shld hve to die tht way,1,0
1561813464800272385,Thehumanspringr,@CousinPookieFBP Highly unlikely. The asian hate crime bill happen because they aren't black.,0,1
